plot,com,veg_type,exp,top,elev,slope,s_ha,s_m2,n2,e,invasive,rare,tree_cover,shrub_cover,herb_cover,ph,ch,h,cr,th,trees,shrubs,semishrubs,perennials,biennials,annuals,x1_5,x5_10,x10_15,x15_20,x20_25,x25_30,x30_35,x_35,total_stems
w1370sww,b,f,sse_wws,concave,1370,15,28,3,7,0.5,2,0,85,1,8,6,0,21,1,0,4,2,0,22,0,0,113,208,119,60,9,0,2,0,511
e1105n,c,f,n_ne_nne,convex,1105,25,66,5,15,0.5,6,1,85,6,10,11,0,50,2,3,6,5,0,51,1,3,3,4,6,16,21,21,8,6,85
e1159nne,c,f,n_ne_nne,flat,1159,21,21,2,6,0.6,1,0,95,4,3,3,0,15,3,0,3,0,0,18,0,0,9,10,21,26,23,19,8,7,123
e1317n,c,f,n_ne_nne,flat,1317,28,40,4,14,0.6,1,0,70,1,4,7,0,29,4,0,4,3,0,32,0,1,62,65,42,25,20,9,7,4,234
e1446e,c,f,e_nw,flat,1446,23,14,1,4,0.6,0,0,80,0,1,3,0,10,1,0,2,1,0,11,0,0,64,46,19,13,12,5,2,17,178
e1497ne,c,f,n_ne_nne,flat,1497,25,22,4,8,0.7,0,0,90,0,32,1,1,20,0,0,1,1,0,20,0,0,0,2,1,5,9,8,8,20,53
e1550ne,c,f,n_ne_nne,flat,1550,16,25,6,11,0.7,0,0,90,0,21,3,0,21,1,0,2,1,0,22,0,0,0,0,2,4,4,8,4,19,41
e1600e,c,f,e_nw,convex,1600,26,35,7,13,0.6,0,0,80,2,17,3,0,31,1,0,2,1,0,31,0,1,0,1,2,2,8,5,9,20,47
e1701e,c,f,e_nw,concave,1701,19,33,7,13,0.7,1,0,85,0,22,4,0,26,3,0,3,1,0,29,0,0,0,6,12,11,13,19,7,18,86
s1248e,c,f,e_nw,concave,1248,9,38,3,11,0.5,4,0,90,0,21,6,0,27,3,2,2,4,0,28,1,3,37,53,32,31,14,10,1,5,183
see1420e,c,f,e_nw,concave,1420,15,64,10,33,0.7,5,0,60,3,63,12,0,47,1,4,6,6,0,46,2,4,32,31,19,15,12,12,14,17,152
see1519sw,c,f,s_sw_ssw,flat,1519,26,34,5,14,0.7,2,0,85,3,23,10,0,22,1,1,5,5,0,22,0,2,43,67,114,112,87,17,0,1,441
sse1514nnw,c,f,een_nnw,concave,1514,30,37,4,9,0.5,1,0,95,1,5,5,1,28,2,1,2,4,0,29,1,1,34,30,11,11,7,2,3,16,114
sse1549nnw,c,f,een_nnw,convex,1549,20,17,2,3,0.5,0,0,90,2,3,1,0,14,2,0,1,0,0,16,0,0,114,92,47,23,12,9,9,13,319
e1409see,d,f,ees_wwn,convex,1409,30,17,2,4,0.5,1,0,90,0,11,1,0,15,1,0,1,0,0,16,0,0,1,9,13,12,20,17,14,5,91
s1265e,d,f,e_nw,convex,1265,36,7,0,2,0.6,0,0,80,0,0,1,0,6,0,0,1,0,0,6,0,0,165,187,162,80,20,4,0,0,618
s1284nww,d,f,ees_wwn,convex,1284,21,21,2,4,0.5,2,0,70,3,6,2,0,18,0,1,1,1,0,18,0,1,48,21,13,14,19,19,8,6,148
s1494nww,d,f,ees_wwn,convex,1494,15,17,1,3,0.5,0,0,85,1,5,4,1,11,0,1,2,3,0,11,0,1,23,47,52,86,50,25,2,2,287
se1351n,d,f,n_ne_nne,concave,1351,24,16,1,3,0.5,0,0,85,0,2,1,0,14,0,1,1,0,0,14,0,1,11,29,16,17,6,3,1,17,100
se1411nee,d,f,een_nnw,convex,1411,25,28,4,8,0.5,1,0,80,1,5,2,0,25,1,0,1,1,0,25,0,1,34,39,42,26,23,23,11,6,204
se1494e,d,f,e_nw,convex,1494,18,28,2,6,0.4,2,0,90,0,2,4,0,24,0,0,2,2,0,23,0,1,35,31,14,8,6,5,5,16,120
see1379ne,d,f,n_ne_nne,convex,1379,18,13,2,3,0.5,0,0,95,4,4,4,0,9,0,0,3,1,0,9,0,0,27,71,72,45,28,16,5,0,264
see1489n,d,f,n_ne_nne,convex,1489,25,25,3,7,0.5,2,0,95,0,5,1,0,22,1,1,1,0,0,22,0,2,9,19,14,10,5,6,4,14,81
see1552nw,d,f,e_nw,flat,1552,27,39,6,10,0.5,2,0,55,7,8,8,2,28,0,1,2,8,0,28,0,1,77,40,6,3,2,0,1,10,139
see1601se,d,f,se_w,flat,1601,20,24,3,7,0.6,1,0,90,0,9,2,0,18,0,4,1,1,0,18,0,4,0,6,3,6,4,1,4,17,41
see1636e,d,f,e_nw,convex,1636,28,21,2,5,0.5,2,0,90,3,6,2,0,16,0,3,1,1,0,15,0,4,6,11,9,7,8,7,8,13,69
sse1574s,d,f,s_sw_ssw,flat,1574,25,13,1,3,0.5,1,0,90,0,4,1,0,12,0,0,1,0,0,11,0,1,4,56,59,57,36,24,6,9,251
ssw1317nw,d,f,e_nw,convex,1317,27,22,2,4,0.5,0,0,85,1,2,3,0,18,0,1,2,1,0,18,0,1,87,124,108,66,18,6,8,4,421
sw1314e,d,f,e_nw,flat,1314,28,11,0,2,0.6,2,0,80,1,0,5,0,5,0,1,2,3,0,5,0,1,108,64,26,12,15,10,5,12,252
sw1377w,d,f,se_w,convex,1377,23,20,2,5,0.5,1,0,90,0,1,3,0,14,1,2,1,2,0,15,0,2,2,10,16,15,25,13,9,14,104
sw1382nw,d,f,e_nw,concave,1382,22,23,2,4,0.4,0,0,85,2,1,2,1,20,0,0,1,2,0,20,0,0,70,41,17,11,9,20,8,12,188
sw1439nw,d,f,e_nw,flat,1439,26,29,4,7,0.5,1,0,95,0,5,2,1,22,1,3,1,2,0,22,0,4,3,10,10,6,13,5,9,19,75
sw1452nw,d,f,e_nw,flat,1452,28,26,2,7,0.5,2,0,95,0,3,4,1,19,1,1,1,4,0,20,0,1,8,21,14,17,10,11,13,17,111
sww1350nnw,d,f,een_nnw,convex,1350,23,13,2,2,0.5,2,0,90,2,0,3,0,10,0,0,2,1,0,10,0,0,12,104,66,37,30,22,3,7,281
sww1385n,d,f,n_ne_nne,flat,1385,17,21,3,6,0.5,2,0,98,0,2,6,1,13,1,0,3,4,0,14,0,0,10,92,57,53,8,0,2,0,222
w1080n,d,f,n_ne_nne,flat,1080,24,29,3,7,0.5,2,0,90,0,2,3,0,23,1,2,1,2,0,23,0,3,15,6,0,0,0,0,0,31,52
w1303ne,d,f,n_ne_nne,flat,1303,31,15,3,5,0.6,0,0,90,0,4,3,1,11,0,0,3,1,0,11,0,0,114,181,100,45,2,0,0,0,442
e1209nnw,e,f,een_nnw,convex,1209,16,14,2,3,0.5,0,0,90,5,4,1,0,13,0,0,1,0,0,13,0,0,43,117,91,60,22,3,0,0,336
s1193nnw,e,f,een_nnw,flat,1193,24,7,0,2,0.7,0,0,97,0,0,4,0,3,0,0,4,0,0,3,0,0,72,252,126,84,29,10,9,6,588
s1215ne,e,f,n_ne_nne,convex,1215,16,6,0,2,0.7,2,0,95,0,0,4,0,2,0,0,3,1,0,2,0,0,65,198,126,68,33,28,15,5,538
s1295nw,e,f,e_nw,flat,1295,27,7,2,2,0.7,1,0,95,0,11,1,0,6,0,0,1,0,0,6,0,0,121,284,192,85,25,0,0,0,707
s1327ne,e,f,n_ne_nne,flat,1327,14,6,1,2,0.7,0,0,85,3,23,1,0,5,0,0,1,0,0,5,0,0,44,38,8,11,5,5,6,19,136
s1350nww,e,f,ees_wwn,convex,1350,23,12,3,3,0.5,0,0,85,0,7,1,0,11,0,0,1,0,0,11,0,0,65,80,79,76,38,18,2,0,358
s1351sw,e,f,s_sw_ssw,flat,1351,24,7,2,1,0.7,1,0,90,2,2,1,0,4,0,2,1,0,0,4,0,2,19,20,14,5,8,9,10,23,108
s1399ssw,e,f,s_sw_ssw,flat,1399,19,5,0,1,0.7,1,0,90,0,0,1,0,4,0,0,1,0,0,4,0,0,35,69,58,47,34,29,7,4,283
sse1231sw,e,f,s_sw_ssw,flat,1231,22,16,3,3,0.5,0,0,85,2,9,3,0,13,0,0,1,2,0,13,0,0,143,67,25,3,4,6,19,0,267
ssw1346ne,e,f,n_ne_nne,flat,1346,7,8,2,2,0.6,0,0,95,0,4,3,0,5,0,0,2,1,0,5,0,0,312,301,160,12,0,0,0,0,785
ssw1397n,e,f,n_ne_nne,flat,1397,17,9,2,2,0.6,0,0,90,0,2,1,0,8,0,0,1,0,0,8,0,0,16,50,44,42,26,9,8,6,201
ssw1403w,e,f,se_w,flat,1403,18,8,2,2,0.6,0,0,80,1,2,1,0,6,0,1,1,0,0,6,0,1,85,125,69,80,16,7,5,2,389
sw1318nw,e,f,e_nw,convex,1318,26,16,1,3,0.5,0,0,70,10,0,4,0,11,1,0,2,2,0,12,0,0,157,27,18,39,27,23,5,17,313
sww1380nne,e,f,n_ne_nne,flat,1380,25,16,3,4,0.6,0,0,80,10,36,1,2,12,0,1,1,2,0,12,0,1,26,30,30,42,30,16,10,1,185
w1425nw,e,f,e_nw,flat,1425,18,12,1,3,0.5,2,0,90,0,1,3,1,6,0,2,3,1,0,6,0,2,20,148,108,85,17,0,0,0,378
w1505nee,e,f,een_nnw,convex,1505,22,12,3,3,0.6,1,0,90,0,11,1,1,8,0,2,1,1,0,8,0,2,10,25,28,37,30,20,14,2,166
w1513ssw,e,f,se_w,convex,1513,8,16,1,2,0.5,1,0,95,0,0,2,1,12,0,1,1,2,0,11,0,2,71,102,64,56,38,20,6,4,361
s1117w,f,f,se_w,convex,1117,15,57,10,24,0.7,4,0,65,8,15,18,0,37,0,2,9,9,0,35,2,2,65,58,83,84,53,14,8,12,377
s1440ssw,f,f,s_sw_ssw,flat,1440,29,32,1,8,0.5,2,0,85,3,1,7,0,22,1,2,1,6,0,22,0,3,97,35,11,13,12,9,10,18,205
se1204ne,f,f,n_ne_nne,concave,1204,18,42,0,7,0.4,0,0,80,3,0,11,0,31,0,0,4,7,0,29,1,1,91,127,77,27,17,10,8,6,363
se1330ssw,f,f,s_sw_ssw,flat,1330,23,24,4,13,0.8,2,0,80,4,7,8,0,15,1,0,3,5,0,16,0,0,92,112,112,92,40,10,0,0,458
se1423see,f,f,ees_wwn,flat,1423,19,39,4,12,0.5,3,0,95,0,3,9,0,30,0,0,4,5,0,30,0,0,43,76,51,36,27,14,11,8,266
se1530e,f,f,e_nw,flat,1530,26,43,8,23,0.8,2,0,30,58,43,12,0,31,0,0,4,8,0,29,1,1,2,13,8,8,7,5,3,4,50
se1586sw,f,f,s_sw_ssw,flat,1586,25,45,5,17,0.6,7,0,65,4,10,9,0,35,0,1,1,8,0,33,1,2,84,68,33,18,8,6,4,8,229
sse1160ees,f,f,ees_wwn,concave,1160,10,43,9,20,0.7,3,0,90,2,13,12,0,30,1,0,7,5,0,31,0,0,157,155,90,48,19,4,0,0,473
sse1277sw,f,f,s_sw_ssw,flat,1277,15,22,2,3,0.4,2,0,90,3,4,7,0,15,0,0,2,5,0,15,0,0,58,68,28,16,16,2,2,10,200
sse1301se,f,f,se_w,flat,1301,13,34,5,12,0.6,4,0,80,5,21,8,0,26,0,0,3,5,0,26,0,0,82,116,69,46,27,5,1,0,346
sse1350se,f,f,se_w,convex,1350,16,20,2,4,0.5,1,0,80,0,12,6,0,14,0,0,2,4,0,14,0,0,107,167,104,79,36,9,3,4,509
sse1500w,f,f,se_w,flat,1500,17,37,3,12,0.6,2,0,65,8,23,10,0,23,1,3,5,5,0,24,0,3,34,86,142,94,38,11,0,0,405
ssw1120sww,f,f,sse_wws,flat,1120,21,38,6,17,0.7,4,0,60,38,9,10,0,27,1,0,5,5,0,28,0,0,0,14,16,11,18,16,8,13,96
ssw1154se,f,f,se_w,convex,1154,28,26,2,6,0.5,1,0,85,0,8,12,0,13,1,0,6,6,0,14,0,0,83,44,26,15,19,4,7,4,202
ssw1163sww,f,f,sse_wws,flat,1163,14,43,10,19,0.7,4,0,35,73,20,7,0,32,0,4,4,3,0,32,0,4,1,2,3,3,1,7,9,9,35
e1255n,g,f,n_ne_nne,flat,1255,19,53,5,18,0.6,4,0,75,2,24,13,1,37,0,2,8,6,0,36,0,3,8,33,93,93,38,11,1,0,277
s1150e,g,f,e_nw,flat,1150,5,58,8,26,0.7,3,0,75,13,22,19,2,37,0,0,10,11,0,37,0,0,78,10,3,15,38,46,19,5,214
se1147se,g,f,se_w,concave,1147,5,45,5,21,0.7,3,0,90,8,49,15,0,28,0,2,4,11,0,27,0,3,0,2,11,15,21,23,21,17,110
se1260ees,g,f,ees_wwn,flat,1260,4,62,6,23,0.6,6,0,75,5,13,16,1,42,1,2,4,13,0,41,2,2,4,46,112,120,64,12,2,0,360
see1249se,g,f,se_w,flat,1249,3,49,8,24,0.7,6,0,65,5,32,16,0,31,0,2,6,10,0,31,0,2,41,35,29,21,39,35,21,10,231
see1272se,g,f,se_w,flat,1272,10,51,5,21,0.7,4,0,70,34,24,16,1,32,1,1,6,11,0,32,0,2,4,3,9,31,39,47,18,4,155
see1324enn,g,f,n_ne_nne,flat,1324,12,46,8,24,0.8,2,0,60,16,56,12,0,32,0,2,6,6,0,31,0,3,13,7,9,31,53,42,10,1,166
see1353sww,g,f,sse_wws,convex,1353,20,44,6,19,0.7,4,0,50,5,14,8,2,31,0,3,4,6,0,32,0,2,70,128,107,44,4,2,1,0,356
see1428sw,g,f,s_sw_ssw,flat,1428,22,42,9,22,0.8,6,0,80,4,33,9,0,29,0,4,3,6,0,27,1,5,44,10,10,17,25,28,33,7,174
sse1098nee,g,f,een_nnw,flat,1098,18,56,8,26,0.7,11,0,70,6,16,16,0,34,0,6,6,10,1,30,2,7,6,13,16,32,34,40,21,4,166
sse1400se,g,f,se_w,concave,1400,11,33,3,10,0.6,3,0,70,1,6,9,0,22,0,2,4,5,0,21,0,3,15,44,142,183,95,8,4,0,491
sse1449sw,g,f,s_sw_ssw,flat,1449,16,34,2,9,0.5,4,0,75,0,4,9,0,21,0,4,3,6,0,21,0,4,23,52,140,151,93,12,0,0,471
ssw1455w,g,f,se_w,flat,1455,8,16,2,5,0.7,2,0,80,0,44,6,0,9,0,1,2,4,0,9,0,1,0,6,38,93,50,0,0,0,187
sw1354n,g,f,n_ne_nne,flat,1354,23,46,7,21,0.7,3,0,80,2,32,12,1,31,1,1,6,7,0,30,1,2,33,11,5,12,19,30,20,36,166
sww1365s,g,f,s_sw_ssw,flat,1365,19,31,2,8,0.5,5,0,95,0,16,11,0,18,0,2,5,6,0,18,1,1,0,60,188,176,61,0,0,0,485
sww926sww,h,f,sse_wws,convex,926,14,33,3,16,0.7,4,0,65,1,5,15,0,17,0,1,6,9,0,17,0,1,29,17,49,57,34,13,8,0,207
sww960nee,h,f,een_nnw,flat,960,15,60,9,28,0.7,8,0,60,4,16,22,0,36,0,2,8,14,0,34,1,3,37,19,12,12,74,55,22,5,236
w1035nne,h,f,n_ne_nne,flat,1035,7,76,6,31,0.7,12,0,65,11,5,20,1,52,0,3,12,9,0,50,3,2,9,7,5,9,31,40,25,10,136
w1055sw,h,f,se_w,flat,1055,22,51,6,21,0.7,4,0,70,5,9,19,1,31,0,0,10,10,0,30,1,0,22,20,21,65,77,12,12,0,229
w967nnw,h,f,een_nnw,flat,967,11,66,7,28,0.7,9,0,75,2,8,22,1,41,0,2,11,12,0,40,0,3,2,0,3,34,59,53,10,0,161
ssw1010sww,i,f,sse_wws,convex,1010,17,37,7,16,0.7,1,0,75,1,17,7,1,27,1,1,3,5,0,28,0,1,19,34,30,42,32,12,5,2,176
ssw1074sww,i,f,sse_wws,convex,1074,22,54,11,24,0.7,3,0,60,0,22,8,2,41,1,2,4,6,0,42,0,2,21,21,12,36,23,9,14,9,145
sww1039e,i,f,e_nw,flat,1039,22,36,12,19,0.8,2,0,40,5,22,12,0,21,1,2,4,8,0,20,3,1,221,182,105,36,4,0,0,0,548
sww1072nw,i,f,e_nw,flat,1072,17,37,3,16,0.7,1,0,85,0,5,14,0,22,1,0,4,10,0,23,0,0,72,118,135,49,2,6,5,0,387
sww970nnw,i,f,een_nnw,flat,970,27,39,4,11,0.5,1,0,85,2,4,13,0,25,1,0,5,8,0,26,0,0,61,48,67,48,34,13,12,2,285
sww980e,i,f,e_nw,convex,980,9,70,11,27,0.7,6,0,70,20,23,23,1,43,2,1,9,15,0,45,1,0,208,6,24,61,27,8,9,0,343
s1700s,j,s,s_sw_ssw,convex,1700,20,45,13,26,0.8,2,0,0,3,82,4,1,39,0,1,1,4,1,36,2,1,,,,,,,,,
s1800ssw,j,s,s_sw_ssw,flat,1800,16,55,15,31,0.8,1,1,0,0,86,2,1,47,1,4,0,3,0,46,2,4,,,,,,,,,
sse1700sse,j,s,sse_wws,convex,1700,16,52,10,25,0.7,2,0,0,6,92,4,1,45,1,1,1,4,0,46,1,0,,,,,,,,,
sse1800s,j,s,s_sw_ssw,convex,1800,16,55,15,28,0.8,3,2,0,0,60,4,2,44,1,4,1,5,0,43,2,4,,,,,,,,,
s1500s,k,s,s_sw_ssw,flat,1500,15,57,17,33,0.8,5,1,0,3,76,7,1,47,0,2,0,8,0,46,2,1,,,,,,,,,
s1600sww,k,s,sse_wws,flat,1600,17,74,23,44,0.8,6,0,0,7,74,5,1,62,0,6,1,5,0,59,5,4,,,,,,,,,
sse1600see,k,s,ees_wwn,flat,1600,17,60,17,34,0.8,4,0,0,7,79,5,1,52,1,1,1,5,0,52,1,1,,,,,,,,,
ssw1515sww,k,s,sse_wws,flat,1515,9,61,18,33,0.8,3,0,0,11,95,6,2,50,0,3,2,6,0,49,2,2,,,,,,,,,
ssw1600ssw,k,s,s_sw_ssw,convex,1600,15,46,15,27,0.8,3,0,0,6,74,3,1,37,0,5,1,3,1,36,1,4,,,,,,,,,
ssw1700s,k,s,s_sw_ssw,flat,1700,15,48,13,26,0.8,3,0,0,0,82,4,1,39,1,3,1,4,0,39,2,2,,,,,,,,,
sw1600w,k,s,se_w,concave,1600,16,51,12,31,0.8,2,0,0,2,82,4,3,41,0,3,1,6,1,40,1,2,,,,,,,,,
sww1510w,k,s,se_w,concave,1510,13,69,15,41,0.8,6,1,0,23,82,9,1,55,0,4,2,8,1,53,2,3,,,,,,,,,
se2000ssw,l,s,s_sw_ssw,concave,2000,7,56,16,34,0.8,4,0,0,0,96,5,2,46,0,3,0,7,0,45,1,3,,,,,,,,,
ssw1806w,l,s,se_w,flat,1806,18,55,12,30,0.8,1,0,0,2,86,5,2,45,1,2,1,6,0,46,1,1,,,,,,,,,
ssw1906sw,l,s,s_sw_ssw,concave,1906,10,47,14,25,0.8,2,0,0,0,97,4,3,38,0,2,1,6,0,37,1,2,,,,,,,,,
sw1700sww,l,s,sse_wws,flat,1700,16,45,11,30,0.9,1,1,0,1,75,6,2,33,1,3,2,6,1,33,1,2,,,,,,,,,
sw1800sww,l,s,sse_wws,flat,1800,17,57,13,30,0.8,3,0,0,5,77,6,3,44,1,3,1,8,1,43,1,3,,,,,,,,,
sw1900w,l,s,se_w,convex,1900,13,54,13,29,0.8,3,0,0,0,87,3,1,47,1,2,0,4,0,47,1,2,,,,,,,,,
sww1600nw,l,s,e_nw,flat,1600,17,50,21,34,0.9,2,1,0,13,80,9,4,33,0,4,3,10,1,32,1,3,,,,,,,,,
sww1700nw,l,s,e_nw,flat,1700,15,35,11,19,0.8,1,2,0,0,73,3,4,28,0,0,1,6,1,27,0,0,,,,,,,,,
sww1800nw,l,s,e_nw,flat,1800,15,52,18,33,0.8,4,0,0,3,81,5,4,39,0,4,1,8,1,36,2,4,,,,,,,,,
sww1900nw,l,s,e_nw,flat,1900,18,41,8,19,0.7,2,0,0,2,88,4,1,34,1,1,0,5,1,33,0,2,,,,,,,,,
sww2000nw,l,s,e_nw,convex,2000,19,45,13,24,0.8,3,2,0,0,97,2,3,39,0,1,0,5,1,36,0,3,,,,,,,,,
w1600wwn,l,s,ees_wwn,flat,1600,13,49,14,30,0.8,3,0,0,4,86,5,3,38,1,2,2,6,0,38,2,1,,,,,,,,,
w1700nnw,l,s,een_nnw,flat,1700,14,48,14,25,0.8,2,0,0,3,83,5,3,36,1,3,1,7,1,35,1,3,,,,,,,,,
w1800nnw,l,s,een_nnw,flat,1800,13,38,11,22,0.8,3,0,0,0,95,4,2,31,0,1,0,6,0,30,0,2,,,,,,,,,
w1900nww,l,s,ees_wwn,concave,1900,20,37,13,22,0.8,1,2,0,0,81,3,4,29,0,1,0,7,1,28,0,1,,,,,,,,,
e1919e,m,s,e_nw,concave,1919,25,47,12,23,0.8,4,0,0,0,87,7,4,35,0,1,1,10,0,34,0,2,,,,,,,,,
e2020e,m,s,e_nw,concave,2020,22,53,11,33,0.8,3,0,0,15,90,5,5,41,0,2,0,10,0,41,0,2,,,,,,,,,
e2121e,m,s,e_nw,flat,2121,16,39,11,20,0.8,2,1,0,0,96,3,4,31,0,1,0,7,0,30,0,2,,,,,,,,,
se1799nnw,m,s,een_nnw,flat,1799,18,39,11,19,0.8,1,1,0,0,98,5,3,29,2,0,0,8,1,30,0,0,,,,,,,,,
se1900sw,m,s,s_sw_ssw,flat,1900,12,53,15,28,0.8,3,0,0,0,89,6,3,40,1,3,1,8,1,38,2,3,,,,,,,,,
se2105s,m,s,s_sw_ssw,concave,2105,8,36,12,19,0.8,0,0,0,0,74,5,4,25,0,2,1,8,0,25,0,2,,,,,,,,,
see1838ees,m,s,ees_wwn,flat,1838,13,39,14,22,0.8,0,0,0,0,98,5,4,27,1,2,1,8,0,28,1,1,,,,,,,,,
see1940se,m,s,se_w,concave,1940,20,60,13,32,0.8,3,2,0,0,88,8,5,44,0,3,2,11,1,42,1,3,,,,,,,,,
see2039sw,m,s,s_sw_ssw,concave,2039,13,40,13,21,0.8,3,1,0,0,90,5,3,30,0,2,1,7,0,29,0,3,,,,,,,,,
sse2096sw,m,s,s_sw_ssw,convex,2096,10,36,9,16,0.7,1,1,0,0,93,3,3,30,0,0,0,6,1,27,0,2,,,,,,,,,
sw2000sww,m,s,sse_wws,concave,2000,16,41,9,23,0.8,3,0,0,0,78,4,4,32,0,1,0,8,1,30,0,2,,,,,,,,,
w2000w,m,s,se_w,flat,2000,17,38,12,22,0.8,1,2,0,0,81,3,5,30,0,0,0,8,1,28,0,1,,,,,,,,,
s1900ssw,n,s,s_sw_ssw,flat,1900,9,64,16,34,0.8,3,0,0,0,95,3,1,58,0,2,0,4,1,54,4,1,,,,,,,,,
s2000sw,n,s,s_sw_ssw,convex,2000,10,53,13,28,0.8,2,0,0,0,95,4,3,43,1,2,0,7,1,42,1,2,,,,,,,,,
sse1900s,n,s,s_sw_ssw,convex,1900,10,52,17,29,0.8,2,1,0,0,80,5,4,42,0,1,1,8,0,40,1,2,,,,,,,,,
sse2000s,n,s,s_sw_ssw,concave,2000,10,60,11,31,0.7,3,2,0,0,81,6,2,51,0,1,1,7,1,48,1,2,,,,,,,,,
